fichier,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47
trial19_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (2).csv,284.34977569142865,8.144049066416263,308.2954567633249,6.196412545396345,0.584939486107562,1.518263226574179,-0.012102690421252544,1.082812516818974,279.30657862797165,9.359759801686636,312.4118751591461,7.396079255541188,0.6092402238681771,1.504255728110589,-0.006435490436892568,1.0577973304052135,271.1893191624508,13.197649303427657,311.76861065096705,12.827578034420531,0.654845725042363,1.4078691098095955,-0.008675867169192277,1.0863610779648885,261.4187735746105,6.9788724076277235,313.5189546514036,8.038385175739219,0.35988369483317656,1.1976234011356055,-0.0043742642627515056,1.1648553719368808,284.2084071205817,12.347866126824611,270.1711851191042,24.62268179437001,1.800534441031326,1.1317118521752385,0.0004096585379020496,0.9702767680089146,268.8303389672222,8.632733504844364,339.10863724410706,2.800765851520253,0.6966794214673876,1.9959264857927033,-0.00160725844460011,2.6725350863039536
trial02_succèsDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,147.71238387714732,6.647948459627976,218.51573354547673,3.362254361318659,0.4181268934071376,1.4338210138970868,-0.014246603751018331,0.8231954498078694,146.20343958247793,8.2014500259434,225.31590834530917,3.4366774282728185,0.4587080626434527,1.6133589337454575,-0.01748481432861126,1.1632858313989105,146.5831164446744,9.42935902414118,228.7860251339999,2.9063669108490426,0.47842252783132316,1.5591403798450048,-0.03207807684541214,0.8667091525124117,145.8352241082625,8.945319737760144,231.62540531158447,2.0449551837927618,0.4530686269158673,1.5533061061453348,-0.00994824681259396,1.0316388576102629,149.5975078235973,11.252339545487368,101.39067737622695,74.12867192580661,1.6479755643278402,2.077227442811139,0.0032336161678187913,1.0921830204239595,131.65767392245206,10.81259643655108,240.29888413169166,6.262813584990476,0.639699065091443,1.1568462493607494,-0.006115252104732248,0.417276901399714
trial04_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,124.83945885316574,7.0867556086835926,214.22131159981305,5.482849061968813,0.7294804611509712,1.2919464101268536,-0.0007221199984461813,1.0074612222947708,120.5637370226855,8.847935443783523,219.98375273515833,5.464711078845548,0.8442615887391441,1.5093006136747413,-0.008482998918887485,1.2154674052248189,119.54026776074089,10.48260125548375,224.79834412763464,5.886849345249379,0.8109526973584044,1.3156633923271353,-0.018437335339203085,0.9132064350357406,117.81726706601717,9.214286981278363,227.5286726518111,4.9825479529103385,0.866355816593784,1.469987060811031,-0.01584578360117047,0.9924507932772971,127.85746353067816,8.007557326727506,195.98779802781377,11.822920455355165,1.1680005494614834,0.913249903618745,0.0038576040057046105,0.9030528064698657,152.30360792027437,9.241424469854335,233.55897807564966,1.7385954285674023,0.28885628735143276,0.8809326568711139,-0.0054066165555676955,0.5636586011819932
trial07_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,126.28432619949272,4.989606384306221,211.89049581812517,2.554087876819206,0.5047301563694537,1.2243045230324816,-0.004630596953604436,1.0130981355872546,125.5142199831311,6.985497315386716,218.00688271500945,2.5241614312074043,0.5441601789661893,1.2090951745178249,-0.00272641941899185,0.7238658694940061,118.30718642014723,5.691522561817264,222.66242891199448,2.487940120448437,0.482973971544582,1.08256388321805,-0.0046987564814283634,0.6895429408883611,116.57459462713872,5.459098307269233,226.8234221859755,2.3860763874341107,0.48894178733461036,1.1988690339390986,-0.0022487824170217495,0.799933931062806,124.12285355097568,5.755775809878966,195.73474783918977,10.227257415918,1.0954502957737593,0.8491548656129185,-0.0018278658047760725,0.7220384801861823,141.31419697066778,16.334449418556073,233.07477027582368,4.370940889728591,0.4962990908273661,1.0191413356511652,-0.0010011963486703062,0.7463956695189314
trial08_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,128.7951795630259,10.366183156765441,212.61165927207634,4.078943549290023,0.7815397026110278,1.2784240659617574,-0.003537997798343411,0.9110976373967975,125.00168434561115,13.606153855752392,218.17107268555523,4.772924616331307,0.8839174710205112,1.4576979535034265,-0.0052026804633202245,1.1053246864699067,123.47647217528461,13.273472501343953,222.59688204935154,4.526325133794609,0.8467083036776208,1.364968553833868,-0.005428884838409164,0.9681797940100562,118.50556039156979,11.760978295683133,227.5720626099469,3.986541628789179,0.6754007454003944,1.3158690263307773,-0.00651669915318032,0.7093310895264772,125.06923362000347,7.8742623908882265,189.94419928772808,11.43850055363984,1.3520334387693924,0.9792152682824894,0.015646332055129986,0.8365267271423411,141.05068117951694,13.317008303760517,231.0098831751575,7.978300497416733,0.7135061243430236,0.8277676887875735,-0.0009198189362012091,0.7080127616808924
trial09_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,126.59204646519252,1.3864438268004493,211.47103379069387,1.1323187356455782,0.16571006865713575,0.9229015885161245,-0.010928303013907082,0.7390432786241101,123.72672451036867,2.218529080718874,217.02695915116692,1.0916809501705758,0.1661009924256312,0.8877417827515891,-0.005959803491076312,0.5976155570707218,119.6526638681438,2.111054100805211,223.9917284003051,1.0314861029784566,0.12922590785663007,0.6814212250168374,-0.006284909094086498,0.4301519941888659,117.6037867321946,1.704523356072366,227.15396958452217,0.931637932764278,0.14072560198694462,0.705446301249661,-0.012118030383661972,0.34338859661431487,133.96132498183007,14.143324082114567,195.59583328176754,16.442778362351426,1.5356407030444859,1.7262972847179368,-0.0008836180993535295,1.1800591261454738,139.25760474842264,5.545269784347301,261.50903566422,8.61852582421226,0.3194343625944342,0.8051163920452994,-0.0022804451257128194,0.6183413108074711
trial11_succèsDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,124.9633945699008,6.900533267071408,210.37327131235375,4.860227056332837,0.770185373836248,1.3967918142173528,-0.016132688774368905,1.0022926686451932,119.95459178708634,8.388087442194973,216.72011472594062,5.506711039195911,0.8515700908119783,1.660545419125614,-0.01351251192721183,1.1959883601750376,119.99126981339364,10.421232088668189,221.2977611433785,4.495214178574486,0.8351914804481344,1.5130099794048708,-0.009276951084583464,1.1444591435392768,117.88589296700819,8.690484768416763,225.38067011563282,3.2829938892758808,0.7365909287499426,1.4356158370124181,-0.012838429761606847,0.9250919034149847,130.38087094504877,15.876279518510016,186.92289046521458,11.821460780927236,1.2101560715827544,0.9484392990110008,-0.0022311894879928494,0.8104677704182894,132.84756593884163,16.428312321985786,232.94940872912136,10.87096141273486,0.45681406425325505,0.6096886525919405,-0.0047298864266844655,0.5502734569514569
trial12_succèsDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,141.7853579887977,5.145913535174593,215.92936021853717,2.639417676628696,0.373944173288726,1.3630121642098039,-0.013830910002879022,0.7953077180806922,139.17074487148187,6.4441800659624215,223.04180282201523,2.6676020294993754,0.4385263297605882,1.5245694662741622,-0.01927898727695624,0.7807551132096904,140.618108407045,7.874069017335565,226.2953744545961,2.045911141703094,0.4524273069812323,1.5441775696398963,-0.0347237885017495,0.8965495418557663,138.38845248100085,7.693290730756264,229.217833787967,1.5387582884421833,0.4673741093908056,1.641440674067855,-0.01167000490868239,0.9051660610633483,153.4691219329834,15.369218805141255,184.06512920673077,10.54847464537146,0.6649927084205499,1.2327989888803752,-0.004747030390760309,0.6499676645584471,161.34034748566455,10.37938519274671,219.30993192623822,4.502795714648305,0.4578901141644145,0.9900776794846756,-0.009283720440320407,0.5178961317215413
trial13_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,127.38655090332031,2.559212064004404,214.42146790225203,2.0525228366748394,0.28133242938268105,1.0709403788602239,-0.004953981479081519,0.6977380749781084,125.32458116731591,4.018057039800374,221.6546546556673,2.420813296751769,0.3290261777570915,1.2753639442753655,-0.0036877121903721856,0.8435738768599066,125.2390421451126,4.922980112604509,227.4086449554612,2.038891092354265,0.2906202203072196,1.022149999720059,-0.003798427183211386,0.5771380791211435,125.46160245863773,4.819837638498445,230.93181959963636,1.6239607795134465,0.3124537919121427,1.0974999984419902,-0.0013558105681531652,0.5492351252740598,139.0020171107508,20.06658852117547,186.18353591834642,12.680356166766066,1.048230371210139,0.9259970809644603,-0.0063193651882352975,0.6740278281224217,150.57494126630752,9.239254159054816,225.1197776583677,7.442474988595129,0.5830409645981693,0.8682785950737361,-0.0018849012585341642,0.5279696109219656
trial15_échecDLC_resnet50_kdianalysisJul22shuffle1_200000 (1).csv,130.22069568109814,6.027583397213505,214.0291290928395,3.9495095824240596,0.6339851161173101,1.336902589972559,-0.002094853083993204,1.0464082705127233,125.93755159115942,6.6988369360599185,219.24094168277927,4.377647779295293,0.7183692420349238,1.527032807706733,-0.005080910570153903,1.0812023712361614,124.85998867430092,6.991095104826325,224.74683025271395,4.125421589492112,0.7464118786719484,1.4612415679420043,-0.009184922635252482,0.9986838485098124,122.69553709937452,6.354428883214749,229.14776095174585,3.5673816876540467,0.6863989370688781,1.5253936564164698,-0.00555829150193707,1.1551230675418074,130.856921367363,10.384697257539537,191.8218099098125,19.018099296654874,1.2588918827923712,1.1752304627362322,-0.00360551042534404,0.850820252612767,141.8814627101003,18.071493255781945,241.17532584127866,2.5336521993864602,0.36300167180135373,0.8377356183365756,-0.002198542348470521,0.6288460911643503
